besser,better
genug,enough
billig,cheap
billiger,cheaper
dort,there
endlich,finally
frisch,fresh
gesund,healthy
lecker,tasty; delicious
morgens,in the morning
natürlich,naturally
ein paar, a few
persönlich,personal
samstags,on Saturdays
schnell,fast
teuer,expensive
unpersönlich,impersonal
viele,many
wunderschön,very beautiful
ehrlich,honest
ewig,forever
fertig,finished
frei,free
letzt-,last
möglich,possible
offen,frank
passiv,passive
zuerst,first
einander,each other
vor,ago
