das,Computerspiel,computer game
das,Internet,internet
das,Kino,movies
das,Schach,chess
die,Karte,card
die,Musik,music
der,Basketball,basketball
der,Fußball,soccer
der,Volleyball,volleyball
das,Fitnesstraining,fitness training
das,Gewichteheben,weight lifting
das,Golf,golf
das,Inlineskating,inline skating
das,Jogging,jogging
das,Tennis,tennis
das,Tischtennis,table tennis
das,Yoga,yoga
der,Montag,Monday
der,Dienstag,Tuesday
der,Mittwoch,Wednesday
der,Donnorstag,Thursday
der,Freitag,Friday
der,Samstag,Saturday
der,Sonntag,Sunday
der,Wochentag,weekday
der,Nachmittag,afternoon
das,Viertel,quarter
die,Minute,minute
die,Woche,week
die,Zeit,time
der,Cousin,cousin (m)
die,Kusine,cousin (f)
der,Freund,friend (m)
die,Freundin,friend (f)
der,Haushalt,housekeeping
der,Mensch,person
der,Nachbar,neighbor (m)
die,Nachbarin,neighbor (f)
der,Sport,sport
das,Amerika,America
das,Wochenende,weekend
die,Band,band
die,Universität,university
