beschäftigen,to keep busy; to employ
erwarten,to expect
sammeln,to collect
wechseln,to change
antworten,to answer
ausmachen,to matter
dauern,to last
herstellen,to produce
klingeln,to ring
konkurrieren,to compete
kosten,to cost
kriegen,to get
merken,to notice
sparen,to save (money or time)
verkaufen,to sell
