der,Frühling,spring
der,Sommer,summer
der,Herbst,autumn
der,Winter,winter
der,Regen,rain
der,Schnee,snow
der,Wind,wind
das,Grad,degree
die,Sonne,sun
der,Geburtstag,birthday
der,Monat,month
der,Stau,traffic jam
das,Ende,end
die,Party,party
die,Reise,trip
der,Norden,north
der,Osten,east
der,Süden,south
der,Westen,west
das,Europa,Europe
das,Land,country
das,Nachbarland,neighboring country
die,Hauptstadt,capital
die,Nordsee,North See
die,See,sea
die,Stadt,city
der,Einwohner,inhabitant (m)
die,Einwohnerin,inhabitant (f)
der,Kilometer,kilometer
das,Auto,car
das,Klima,climate
die,Cola,cola
die,Million,million
die,Temperatur,temperature
