aber,but; however
bis,until
doch,really; after all; indeed
ja,yes
na,well
na gut,alright
nach,after
nichts,nothing
oder,or
vor,before
was,what
wir,we
alle,all
beide,both
bis,until
für,for
ganz,very
noch,in addition
relativ,relatively
vielleicht,perhaps
