berufstätig,working; gainfully employed
damals,at that time
gestresst,stressed
mehrere,several; various
nie,never
schlimm,bad; serious
schwierig,difficult
skeptisch,sceptical
sogar,even
stark,strong; greatly
stolz,proud
stolz auf,proud of
verheiratet,married
