sich erkälten,to catch a cold
sich fühlen,to feel
husten,to cough
planen,to plan
vergessen,to forget
verletzen,to injure
verscheiben,to prescribe
wehtun,to hurt
würde,would
auswandern,to emigrate
bauen,to build
bedeuten,to mean
einwandern,to immigrate
existieren,to exist
gehören,to belong to
verbinden,to connect
wundern,to surprise
interessiert (an),interested (in)
