empfehlen,to recommend
kosten,to cost
unterhalten,to entertain
sich unterhalten,to converse
zeigen,to show
beschließen,to decide on
demonstrieren,to demonstrate
fallen,to fall
führen,to lead
nennen,to name
öffnen,to open
stattfinden,to take place
sterben,to die
teilen,to divide
aufteilen,to split up
verlassen,to leave; abandon
wachsen,to grow
zusammenwachsen,to grow together
zwingen,to force; compel
