der,Film,film
das,Klavier,piano
das,Klavierkonzert,piano concerto
das,Open-Air-Konzert,outdoor concert
das,Popkonzert,pop concert
die,Bar,bar; pub
die,Oper,opera
die,Rockband,rock band
die,Unterhaltung,conversation/entertainment
der/die,Glückliche,fortunate one
die,Kritik,criticism; review
die,Lust,desire; pleasure
die,Meinung,opinion
der,Politiker,politician (m.)
die,Politikerin,politician (f.)
der,Soldat,soldier (m.)
die,Soldatin,soldier (f.)
die,Demonstration,demonstration
die,Grenze,border; boundry; limit
die,Mauer,(exterior) wall
die,Regierung,government
die,Vereinigung,unification
die,Wiedervereinigung,reunification
der,Untershied,difference
der,Weg,way; path
das,Wort,word
die,Angst,fear
die,Beziehung,relationship
die,Brücke,bridge
die,Gruppe,group
die,Hilfe,help
die,Luft,air
die,Seite,side; page
