der,Boden,floor
das,Esszimmer,dining room
das,Möbelstück,piece of furniture
das,Schlafzimmer,bedroom
die,Ecke,corner
die,Möbel,furniture
die,Vase,vase
die,Wohnung,dwelling; apartment
der,Bahnhof,train station
der,Park,park
das,Restaurant,restaurant
das,Verkehrsmittel,means of transportation
die,Fußgängerzone,pedestrian zone
der,Austauschstudent,exchange student (m.)
die,Austauschstudentin,exchange student (f.)
die,Gabel,fork
der,Hund,dog
der,Löffel,spoon
der,Name,name
der,Vorname,first name
das,Ausland,foreign country
das,Leben,life
das,Messer,knife
die,Autobahn,freeway
die,Katze,cat
die,Krankenschwester,female nurse
