berichten,to report
passen (+dat),to fit; suit
rumsurfen,to surf around
zusammenpassen,to be suitable for each other
annehmen,to accept
aufgeben,to give up
erziehen,to bring up; rear
hoffen,to hope
klagen,to complain
leiden,to suffer; to tolderate
organisieren,to organize
schauen,to look
schauen nach,to look after
sinken,to sink
unterstützen,to support
verbringen,to spend (time)
verlieren,to lose
