bleiben,to remain
regnen,to rain
scheinen,to shine
schneien,to snow
Ski laufen,to ski
snowboarden,to snowboard
war,was
Wasserski laufen,to waterski
beeinflussen,to influence
lachen,to laugh
liegen,to lie; to be located
reden,to talk; speak
wohnen,to live; reside
