abends,in the evenings
böse,mad
genau,exact(ly)
genauso,exactly the same
oberflächlich,superficial
öffentlich,public
pünktlich,punctual
schließlich,finally; after all
seitdem,since then
überhaupt,generally; altogether
überhaupt nicht,not at all
unglaublich,unbelievable
zwer,it's true; indeed
