brauchen,to need
einkaufen,to shop
essen,to eat
kaufen,to buy
möchte,would like
nehmen,to take
sagen,to say
stimmen,to be correct
suchen,to look for
trinken,to drink
bekommen,to receive
bezahlen,to pay
finden,to find
fragen,to ask
geben,to give
kennen,to know
riechen,to smell
rufen,to call
schließen,to close
sprechen,to speak
stehen,to stand
treffen,to meet
