arbeiten,to work
gehen,to go
glauben,to believe
heben,to lift
hören,to hear
joggen,to jog
kommen,to come
machen,to do; to make
schwimmen,to swim
spazieren gehen,to go for a walk
spielen,to play
surfen,to surf
tanzen,to dance
telefonieren,to telephone
wandern,to hike
wissen,to know
