arm,poor
blass,pale
blond,blonde
dunkel,dark
fürchterlich,horrible
hell,light; bright
lang,long
lieber,preferably
nächst-,next
schlechter,worse
schwach,weak
wesentlich,essential; substantial
wohl,well
deswegen,therefore
französisch,French
größt-,largest
hart,hard; difficult
jährlich,yearly
längst,longest
meist,most
reich,rich
Schweizer,Swiss
schwer,difficult; heavy
sportlich,athletic
