abfahren,to depart
ankommen,to arrive
benutzen,to use
beobachten,to observe
hängen,to hang
lächeln,to smile
legen,to lay
meinen,to mean
passieren,to happen
setzen,to set
stecken,to stick
stehen,to stand
stellen,to place
vermissen,to miss
