anbieten,to offer
ansprechen,to address s.o.
bestehen aus,to consist of
duzen,to address with du
leichtfallen,to come easy
tragen,to carry; to wear
unterstreichen,to underline; emphasize
verlegen,to publish
vermeiden,to avoid s.th.
verzichten,to do without s.th.
