die,Altstadt,old city center
der,Außenbezirk,suburb
die,Bevölkerung,population
der,Bezirk,district
die,Brücke,bridge
das,Bundesland,federal state
der,Einwohner,resident (m.)
die,Einwohnerin,resident (f.)
die,Fläche,area
der,Fluss,river
das,Gebäude,building
die,Geschichte,history; story
die,Grenze,border
die,Gründung,founding; foundation
die,Grünzone,green space
die,Hauptstadt,capital city
die,Parkanlage,public park
das,Schoss,castle
die,Sehenswürdigkeit,sightseeing attraction
der,Staat,state; country
die,Stadt,city; town
das,Stadtbild,appearance of the city
der,Stadtplan,city map
der,Stadtteil,part of a city
das,Umland,surrounding region
das,Viertel,neighborhood
das,Wahrzeichen,symbol
die,Wiedervereinigung,reunification
der,Wohnort,hometown
der,Zweite Weltkrieg,The Second World War
der,Anhänger,supporter (m.)
die,Anhängerin,supporter (f.)
das,Arbeitsangebot,labor market
der,Ausländer,foreigner (m.)
die,Ausländerin,foreigner (f.)
die,Aussage,statement
die,Bundeshauptstadt,federal capital
die,Bundesregierung,federal government
das,Ereignis,event
die,Mauer,wall
die,Miete,rent
die,Nationalsozialisten,National Socialists
die,Nazizeit,Nazi period
das,Publikum,audience
der,Ritus,ritual
die,Siegermächte,Allied Forces
die,Stimmung,atmosphere; ambiance
die,Trennung,separation
der,Türsteher,bouncer
die,Umwelt,environment
die,Veränderung,change
die,Veranstaltung,event
die,Verfassung,constitution
der,Abschied,good-bye; parting
die,Anrede,form of address
der,Arbeitsplatz,workplace
das,Berufsleben,professional life
die,Branche,business sector
der,Chef,boss (m.)
die,Chefin,boss (f.)
die,Firma,company
die,Gemeinschaft,association
der,Gesprächspartner,interlocuter (m.)
die,Gesprächspartnerin,interlocuter (f.)
der,Hafen,harbor; port
die,Hälfte,half
der,Handel,commerce
die,Hanse,Hanseatic League
die,Höflichskeitform,polite form
der,Kollege,colleague (m.)
die,Kollegin,colleague (f.)
die,Luftangriff,air raid
die,Marke,brand
die,Medien,media
die,Mischform,mixed form; hybrid
der,Moderator,moderator; TV host (m.)
die,Moderatorin,moderator; TV hose (f.)
der,Nachname,last name
die,Nachrichten,the news
der,Respekt,respect
der,Rundfunk,radio
die,Sendung,TV/radio show
der,Spitzname,nickname
der,Traum,dream
die,Unsicherheit,insecurity
das,Unternehmen,business; corporate enterprise
das,Verhalten,behavior
das,Verhältnis,relationship
der,Verlag,publishing company
das,Verlagwesen,publishing business
der,Vorname,first name
der,Vorgesetzte,superior
die,Werbung,advertising
die,Wirtschaft,economy
die,Zeitschrift,magazine
die,Zeitung,newspaper
der,Zuschauer,viewer; audience (m.)
die,Zuschauerin,viewer; audience (f.
