drittgrößte,third largest
erfolgreich,successful
furchtbar,horrible; horribly
höflich,polite; politely
leicht,easy
locker,laid back; easy
öffenlich,public; publicly
schwierig,difficult; complicated
unhöflich,impolite; impolitely
voreilig,premature; prematurely
